"","24E9","076C","EC1A","2F8D","44BD","DCCF","F377","AA3C","204F","9407","4ECA","39ED","BF04","4C7B","7C6F","0758","80F1","CB2B","2C18","377E","9FB7","ACF4","D629","0D1B","AC35","4FE4","41C1","29B2","C950","879F","D14D","C5F2","898A","5939","22B0","A539"
"4ECA",0.25,0.285714285714286,0.111111111111111,0.25,0.333333333333333,0.333333333333333,0.25,0.333333333333333,0,0.5,0,0.75,0.5,0.8,0.5,0.166666666666667,0.285714285714286,0.2,0.142857142857143,0.4,0.285714285714286,0.25,0.25,0.4,0.2,0.166666666666667,0.142857142857143,0.4,0.5,0.5,0.5,0.333333333333333,0.285714285714286,0.333333333333333,0,0
"39ED",0.285714285714286,0.333333333333333,0.125,0.285714285714286,0.4,0.4,0.285714285714286,0.375,0,0.6,0.75,0,0.666666666666667,0.6,0.6,0.2,0.333333333333333,0.222222222222222,0.166666666666667,0.5,0.333333333333333,0.285714285714286,0.285714285714286,0.2,0.25,0.2,0.166666666666667,0.5,0.333333333333333,0.25,0.666666666666667,0.4,0.142857142857143,0.4,0,0
"BF04",0.142857142857143,0.166666666666667,0.142857142857143,0.142857142857143,0.2,0.2,0.142857142857143,0.25,0,0.4,0.5,0.666666666666667,0,0.4,0.4,0.25,0.166666666666667,0.25,0.2,0.25,0.166666666666667,0.142857142857143,0.142857142857143,0.25,0.333333333333333,0.25,0.2,0.25,0.166666666666667,0.333333333333333,0.333333333333333,0.2,0.166666666666667,0.2,0,0
"4C7B",0.222222222222222,0.25,0.1,0.222222222222222,0.5,0.285714285714286,0.222222222222222,0.3,0.111111111111111,0.428571428571429,0.8,0.6,0.4,0,0.428571428571429,0.142857142857143,0.25,0.181818181818182,0.285714285714286,0.6,0.428571428571429,0.375,0.375,0.333333333333333,0.166666666666667,0.142857142857143,0.125,0.333333333333333,0.428571428571429,0.4,0.4,0.285714285714286,0.25,0.285714285714286,0,0
"7C6F",0.375,0.25,0.222222222222222,0.375,0.285714285714286,0.285714285714286,0.375,0.444444444444444,0.111111111111111,0.428571428571429,0.5,0.6,0.4,0.428571428571429,0,0.142857142857143,0.428571428571429,0.3,0.125,0.333333333333333,0.428571428571429,0.375,0.222222222222222,0.142857142857143,0.166666666666667,0.142857142857143,0.125,0.333333333333333,0.428571428571429,0.166666666666667,0.4,0.285714285714286,0.25,0.285714285714286,0,0.166666666666667
"0758",0.125,0.142857142857143,0.125,0,0,0,0,0.1,0.142857142857143,0.142857142857143,0.166666666666667,0.2,0.25,0.142857142857143,0.142857142857143,0,0.142857142857143,0.222222222222222,0.166666666666667,0,0,0,0.125,0.2,0,0.2,0.166666666666667,0.2,0,0,0,0,0.142857142857143,0,0.25,0
"80F1",0.222222222222222,0.111111111111111,0.1,0.222222222222222,0.125,0.285714285714286,0.222222222222222,0.3,0.111111111111111,0.25,0.285714285714286,0.333333333333333,0.166666666666667,0.25,0.428571428571429,0.142857142857143,0,0.3,0,0.142857142857143,0.25,0.222222222222222,0.222222222222222,0,0,0,0.125,0.142857142857143,0.25,0,0.166666666666667,0.285714285714286,0.25,0.5,0,0.166666666666667
"CB2B",0.272727272727273,0.0833333333333333,0.555555555555556,0.272727272727273,0.0909090909090909,0.2,0.272727272727273,0.6,0.181818181818182,0.181818181818182,0.2,0.222222222222222,0.25,0.181818181818182,0.3,0.222222222222222,0.3,0,0.2,0.1,0.3,0.272727272727273,0.272727272727273,0.1,0.25,0.375,0.5,0.1,0.3,0.111111111111111,0.111111111111111,0.2,0.181818181818182,0.333333333333333,0.25,0.25
"2C18",0.111111111111111,0.285714285714286,0.25,0.25,0.333333333333333,0.142857142857143,0.25,0.0909090909090909,0.125,0.125,0.142857142857143,0.166666666666667,0.2,0.285714285714286,0.125,0.166666666666667,0,0.2,0,0.4,0.285714285714286,0.428571428571429,0.25,0.166666666666667,0.2,0.4,0.333333333333333,0.166666666666667,0.125,0.2,0.2,0.333333333333333,0.125,0.142857142857143,0.2,0
"377E",0.285714285714286,0.333333333333333,0.125,0.285714285714286,0.75,0.4,0.285714285714286,0.222222222222222,0.142857142857143,0.333333333333333,0.4,0.5,0.25,0.6,0.333333333333333,0,0.142857142857143,0.1,0.4,0,0.6,0.5,0.5,0.2,0.25,0.2,0.166666666666667,0.5,0.333333333333333,0.25,0.666666666666667,0.4,0.142857142857143,0.4,0,0
"9FB7",0.571428571428571,0.25,0.375,0.571428571428571,0.5,0.285714285714286,0.571428571428571,0.444444444444444,0.428571428571429,0.25,0.285714285714286,0.333333333333333,0.166666666666667,0.428571428571429,0.428571428571429,0,0.25,0.3,0.285714285714286,0.6,0,0.833333333333333,0.375,0.142857142857143,0.166666666666667,0.142857142857143,0.285714285714286,0.333333333333333,0.666666666666667,0.166666666666667,0.4,0.285714285714286,0.111111111111111,0.5,0,0.4
"ACF4",0.5,0.375,0.333333333333333,0.714285714285714,0.428571428571429,0.25,0.714285714285714,0.4,0.375,0.222222222222222,0.25,0.285714285714286,0.142857142857143,0.375,0.375,0,0.222222222222222,0.272727272727273,0.428571428571429,0.5,0.833333333333333,0,0.333333333333333,0.125,0.142857142857143,0.125,0.25,0.285714285714286,0.571428571428571,0.142857142857143,0.333333333333333,0.428571428571429,0.1,0.428571428571429,0,0.333333333333333
"D629",0.333333333333333,0.375,0.0909090909090909,0.2,0.428571428571429,0.428571428571429,0.2,0.272727272727273,0.222222222222222,0.222222222222222,0.25,0.285714285714286,0.142857142857143,0.375,0.222222222222222,0.125,0.222222222222222,0.272727272727273,0.25,0.5,0.375,0.333333333333333,0,0.285714285714286,0.142857142857143,0.125,0.111111111111111,0.5,0.222222222222222,0.142857142857143,0.333333333333333,0.428571428571429,0.375,0.428571428571429,0,0
"0D1B",0.285714285714286,0.333333333333333,0.125,0.125,0.166666666666667,0.166666666666667,0.125,0.1,0.142857142857143,0.142857142857143,0.4,0.2,0.25,0.333333333333333,0.142857142857143,0.2,0,0.1,0.166666666666667,0.2,0.142857142857143,0.125,0.285714285714286,0,0.25,0.2,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.25,0.166666666666667,0.6,0.166666666666667,0,0
"AC35",0.142857142857143,0.166666666666667,0.333333333333333,0.142857142857143,0.2,0.2,0.142857142857143,0.25,0,0.166666666666667,0.2,0.25,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0.25,0.2,0.25,0.166666666666667,0.142857142857143,0.142857142857143,0.25,0,0.666666666666667,0.5,0.25,0.166666666666667,0.333333333333333,0.333333333333333,0.2,0.166666666666667,0.2,0.333333333333333,0
"4FE4",0.125,0.142857142857143,0.5,0.125,0.166666666666667,0.166666666666667,0.125,0.222222222222222,0,0.142857142857143,0.166666666666667,0.2,0.25,0.142857142857143,0.142857142857143,0.2,0,0.375,0.4,0.2,0.142857142857143,0.125,0.125,0.2,0.666666666666667,0,0.75,0.2,0.142857142857143,0.25,0.25,0.166666666666667,0.142857142857143,0.166666666666667,0.666666666666667,0
"41C1",0.25,0.125,0.666666666666667,0.25,0.142857142857143,0.142857142857143,0.25,0.333333333333333,0.125,0.125,0.142857142857143,0.166666666666667,0.2,0.125,0.125,0.166666666666667,0.125,0.5,0.333333333333333,0.166666666666667,0.285714285714286,0.25,0.111111111111111,0.166666666666667,0.5,0.75,0,0.166666666666667,0.285714285714286,0.2,0.2,0.142857142857143,0.125,0.333333333333333,0.5,0.2
"29B2",0.5,0.6,0.125,0.285714285714286,0.4,0.4,0.285714285714286,0.222222222222222,0.142857142857143,0.333333333333333,0.4,0.5,0.25,0.333333333333333,0.333333333333333,0.2,0.142857142857143,0.1,0.166666666666667,0.5,0.333333333333333,0.285714285714286,0.5,0.5,0.25,0.2,0.166666666666667,0,0.333333333333333,0.25,0.666666666666667,0.4,0.333333333333333,0.4,0,0
"C950",0.571428571428571,0.25,0.375,0.571428571428571,0.285714285714286,0.285714285714286,0.571428571428571,0.444444444444444,0.25,0.25,0.5,0.333333333333333,0.166666666666667,0.428571428571429,0.428571428571429,0,0.25,0.3,0.125,0.333333333333333,0.666666666666667,0.571428571428571,0.222222222222222,0.333333333333333,0.166666666666667,0.142857142857143,0.285714285714286,0.333333333333333,0,0.4,0.4,0.285714285714286,0.25,0.5,0,0.4
"879F",0.142857142857143,0.166666666666667,0.142857142857143,0.142857142857143,0.2,0.2,0.142857142857143,0.111111111111111,0,0.166666666666667,0.5,0.25,0.333333333333333,0.4,0.166666666666667,0,0,0.111111111111111,0.2,0.25,0.166666666666667,0.142857142857143,0.142857142857143,0.666666666666667,0.333333333333333,0.25,0.2,0.25,0.4,0,0.333333333333333,0.2,0.4,0.2,0,0
"D14D",0.333333333333333,0.4,0.142857142857143,0.333333333333333,0.5,0.5,0.333333333333333,0.25,0,0.4,0.5,0.666666666666667,0.333333333333333,0.4,0.4,0,0.166666666666667,0.111111111111111,0.2,0.666666666666667,0.4,0.333333333333333,0.333333333333333,0.25,0.333333333333333,0.25,0.2,0.666666666666667,0.4,0.333333333333333,0,0.5,0.166666666666667,0.5,0,0
"C5F2",0.25,0.5,0.111111111111111,0.428571428571429,0.333333333333333,0.6,0.428571428571429,0.2,0,0.285714285714286,0.333333333333333,0.4,0.2,0.285714285714286,0.285714285714286,0,0.285714285714286,0.2,0.333333333333333,0.4,0.285714285714286,0.428571428571429,0.428571428571429,0.166666666666667,0.2,0.166666666666667,0.142857142857143,0.4,0.285714285714286,0.2,0.5,0,0.285714285714286,0.6,0,0
"898A",0.222222222222222,0.25,0.1,0.1,0.125,0.285714285714286,0.1,0.0833333333333333,0.111111111111111,0.111111111111111,0.285714285714286,0.142857142857143,0.166666666666667,0.25,0.25,0.142857142857143,0.25,0.181818181818182,0.125,0.142857142857143,0.111111111111111,0.1,0.375,0.6,0.166666666666667,0.142857142857143,0.125,0.333333333333333,0.25,0.4,0.166666666666667,0.285714285714286,0,0.285714285714286,0,0
"5939",0.428571428571429,0.285714285714286,0.25,0.428571428571429,0.333333333333333,0.6,0.428571428571429,0.333333333333333,0.125,0.285714285714286,0.333333333333333,0.4,0.2,0.285714285714286,0.285714285714286,0,0.5,0.333333333333333,0.142857142857143,0.4,0.5,0.428571428571429,0.428571428571429,0.166666666666667,0.2,0.166666666666667,0.333333333333333,0.4,0.5,0.2,0.5,0.6,0.285714285714286,0,0,0.2
"22B0",0,0,0.333333333333333,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0.25,0,0.25,0.2,0,0,0,0,0,0.333333333333333,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0
"A539",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.25,0.4,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0.25,0,0,0.4,0.333333333333333,0,0,0,0,0.2,0,0.4,0,0,0,0,0.2,0,0
