"from","to","weight","pairID","pair_type","year"
"0D1B","1731",0.555555555555556,"0D1B-1731","other",2013
"0D1B","6D0D",0.5,"0D1B-6D0D","other",2013
"0D1B","2C18",0.473684210526316,"0D1B-2C18","other",2013
"0D1B","07F9",0.486486486486487,"07F9-0D1B","other",2013
"0D1B","3D98",0.421052631578947,"0D1B-3D98","other",2013
"0D1B","B587",0.552631578947368,"0D1B-B587","other",2013
"0D1B","377E",0.388888888888889,"0D1B-377E","other",2013
"0D1B","3CA1",0.578947368421053,"0D1B-3CA1","other",2013
"0D1B","24E9",0.41025641025641,"0D1B-24E9","other",2013
"0D1B","A8D2",0.5,"0D1B-A8D2","other",2013
"0D1B","39ED",0.394736842105263,"0D1B-39ED","other",2013
"0D1B","52AD",0.380952380952381,"0D1B-52AD","other",2013
"0D1B","BF04",0.454545454545455,"0D1B-BF04","other",2013
"0D1B","5672",0.416666666666667,"0D1B-5672","other",2013
"0D1B","4FE4",0.534883720930233,"0D1B-4FE4","mother-daughter",2013
"0D1B","4C7B",0.456521739130435,"0D1B-4C7B","other",2013
"0D1B","9E17",0.314285714285714,"0D1B-9E17","other",2013
"0D1B","2F15",0.414634146341463,"0D1B-2F15","other",2013
"0D1B","3F49",0.409090909090909,"0D1B-3F49","other",2013
"0D1B","4ECA",0.6,"0D1B-4ECA","other",2013
"0D1B","B75C",0.352941176470588,"0D1B-B75C","other",2013
"0D1B","AC35",0.428571428571429,"0D1B-AC35","other",2013
"0D1B","AA57",0.361111111111111,"0D1B-AA57","other",2013
"0D1B","41C1",0.254901960784314,"0D1B-41C1","other",2013
"0D1B","5108",0.171428571428571,"0D1B-5108","other",2013
"1731","6D0D",0.470588235294118,"1731-6D0D","other",2013
"1731","2C18",0.485714285714286,"1731-2C18","other",2013
"1731","07F9",0.59375,"07F9-1731","other",2013
"1731","3D98",0.219512195121951,"1731-3D98","other",2013
"1731","B587",0.527777777777778,"1731-B587","other",2013
"1731","377E",0.533333333333333,"1731-377E","other",2013
"1731","3CA1",0.555555555555556,"1731-3CA1","other",2013
"1731","24E9",0.307692307692308,"1731-24E9","other",2013
"1731","A8D2",0.666666666666667,"1731-A8D2","other",2013
"1731","39ED",0.53125,"1731-39ED","other",2013
"1731","52AD",0.5,"1731-52AD","other",2013
"1731","BF04",0.463414634146341,"1731-BF04","other",2013
"1731","5672",0.391304347826087,"1731-5672","other",2013
"1731","4FE4",0.409090909090909,"1731-4FE4","other",2013
"1731","4C7B",0.340425531914894,"1731-4C7B","other",2013
"1731","9E17",0.4,"1731-9E17","other",2013
"1731","2F15",0.421052631578947,"1731-2F15","other",2013
"1731","3F49",0.414634146341463,"1731-3F49","other",2013
"1731","4ECA",0.485714285714286,"1731-4ECA","other",2013
"1731","B75C",0.4,"1731-B75C","other",2013
"1731","AC35",0.393939393939394,"1731-AC35","other",2013
"1731","AA57",0.184210526315789,"1731-AA57","other",2013
"1731","41C1",0.304347826086957,"1731-41C1","other",2013
"1731","5108",0.15625,"1731-5108","other",2013
"6D0D","2C18",0.388888888888889,"2C18-6D0D","other",2013
"6D0D","07F9",0.53125,"07F9-6D0D","other",2013
"6D0D","3D98",0.263157894736842,"3D98-6D0D","other",2013
"6D0D","B587",0.432432432432432,"6D0D-B587","other",2013
"6D0D","377E",0.517241379310345,"377E-6D0D","other",2013
"6D0D","3CA1",0.5,"3CA1-6D0D","other",2013
"6D0D","24E9",0.361111111111111,"24E9-6D0D","other",2013
"6D0D","A8D2",0.5,"6D0D-A8D2","other",2013
"6D0D","39ED",0.516129032258065,"39ED-6D0D","other",2013
"6D0D","52AD",0.444444444444444,"52AD-6D0D","other",2013
"6D0D","BF04",0.414634146341463,"6D0D-BF04","other",2013
"6D0D","5672",0.347826086956522,"5672-6D0D","other",2013
"6D0D","4FE4",0.395348837209302,"4FE4-6D0D","other",2013
"6D0D","4C7B",0.326086956521739,"4C7B-6D0D","mother-daughter",2013
"6D0D","9E17",0.25,"6D0D-9E17","other",2013
"6D0D","2F15",0.3,"2F15-6D0D","other",2013
"6D0D","3F49",0.302325581395349,"3F49-6D0D","other",2013
"6D0D","4ECA",0.351351351351351,"4ECA-6D0D","other",2013
"6D0D","B75C",0.290322580645161,"6D0D-B75C","other",2013
"6D0D","AC35",0.333333333333333,"6D0D-AC35","other",2013
"6D0D","AA57",0.264705882352941,"6D0D-AA57","other",2013
"6D0D","41C1",0.234042553191489,"41C1-6D0D","other",2013
"6D0D","5108",0.166666666666667,"5108-6D0D","other",2013
"2C18","07F9",0.5,"07F9-2C18","other",2013
"2C18","3D98",0.351351351351351,"2C18-3D98","other",2013
"2C18","B587",0.486486486486487,"2C18-B587","other",2013
"2C18","377E",0.393939393939394,"2C18-377E","other",2013
"2C18","3CA1",0.435897435897436,"2C18-3CA1","other",2013
"2C18","24E9",0.275,"24E9-2C18","other",2013
"2C18","A8D2",0.351351351351351,"2C18-A8D2","other",2013
"2C18","39ED",0.324324324324324,"2C18-39ED","other",2013
"2C18","52AD",0.384615384615385,"2C18-52AD","other",2013
"2C18","BF04",0.363636363636364,"2C18-BF04","other",2013
"2C18","5672",0.361702127659574,"2C18-5672","other",2013
"2C18","4FE4",0.441860465116279,"2C18-4FE4","other",2013
"2C18","4C7B",0.4,"2C18-4C7B","other",2013
"2C18","9E17",0.3125,"2C18-9E17","other",2013
"2C18","2F15",0.421052631578947,"2C18-2F15","other",2013
"2C18","3F49",0.567567567567568,"2C18-3F49","other",2013
"2C18","4ECA",0.405405405405405,"2C18-4ECA","other",2013
"2C18","B75C",0.3125,"2C18-B75C","other",2013
"2C18","AC35",0.352941176470588,"2C18-AC35","other",2013
"2C18","AA57",0.25,"2C18-AA57","other",2013
"2C18","41C1",0.224489795918367,"2C18-41C1","other",2013
"2C18","5108",0.0571428571428571,"2C18-5108","other",2013
"07F9","3D98",0.256410256410256,"07F9-3D98","other",2013
"07F9","B587",0.5,"07F9-B587","other",2013
"07F9","377E",0.5,"07F9-377E","other",2013
"07F9","3CA1",0.61764705882353,"07F9-3CA1","other",2013
"07F9","24E9",0.351351351351351,"07F9-24E9","other",2013
"07F9","A8D2",0.53125,"07F9-A8D2","other",2013
"07F9","39ED",0.548387096774194,"07F9-39ED","other",2013
"07F9","52AD",0.558823529411765,"07F9-52AD","other",2013
"07F9","BF04",0.512820512820513,"07F9-BF04","mother-daughter",2013
"07F9","5672",0.340425531914894,"07F9-5672","other",2013
"07F9","4FE4",0.452380952380952,"07F9-4FE4","other",2013
"07F9","4C7B",0.441860465116279,"07F9-4C7B","other",2013
"07F9","9E17",0.366666666666667,"07F9-9E17","other",2013
